zip_code;town;canton
1000;Lausanne;VD
1000;Lausanne 1 Dépôt;VD
1000;Lausanne 2;VD
1000;Lausanne 3;VD
1000;Lausanne Ouchy;VD
1000;Lausanne 7;VD
1000;Lausanne 8;VD
1000;Lausanne 12;VD
1000;Lausanne 14;VD
1000;Lausanne 16;VD
1000;Lausanne 17;VD
1000;Lausanne 19;VD
1000;Lausanne 20;VD
1000;Lausanne Grangette;VD
1000;Lausanne 22;VD
1000;Lausanne 23;VD
1000;Lausanne 24 Vennes;VD
1000;Lausanne 25;VD
1000;Lausanne 26;VD
1000;Lausanne 27;VD
1000;Lausanne Distribution;VD
1001;Lausanne;VD
1002;Lausanne;VD
1003;Lausanne;VD
1004;Lausanne;VD
1005;Lausanne;VD
1006;Lausanne;VD
1007;Lausanne;VD
1008;Prilly;VD
1009;Pully;VD
1010;Lausanne;VD
1011;Lausanne;VD
1012;Lausanne;VD
1014;Lausanne Adm cant VD;VD
1015;Lausanne;VD
1018;Lausanne;VD
1020;Renens VD;VD
1020;Renens VD 1;VD
1020;Renens VD 2;VD
1022;Chavannes-près-Renens;VD
1023;Crissier;VD
1024;Ecublens VD;VD
1025;St-Sulpice VD;VD
1026;Echandens-Denges;VD
1027;Lonay;VD
1028;Préverenges;VD
1030;Bussigny;VD
1032;Romanel-sur-Lausanne;VD
1033;Cheseaux-sur-Lausanne;VD
1037;Etagnières;VD
1038;Bercher;VD
1040;Echallens;VD
1040;St-Barthélemy VD;VD
1377;Oulens-sous-Echallens;VD
1042;Bettens;VD
1040;Villars-le-Terroir;VD
1417;Epautheyres;VD
1041;Dommartin;VD
1063;Peyres-Possens;VD
1063;Boulens;VD
1041;Poliez-le-Grand;VD
1041;Poliez-Pittet;VD
1041;Bottens;VD
1053;Bretigny-sur-Morrens;VD
1034;Boussens;VD
1035;Bournens;VD
1036;Sullens;VD
1042;Assens;VD
1043;Sugnens;VD
1044;Fey;VD
1045;Ogens;VD
1407;Bioley-Magnoux;VD
1042;Bioley-Orjulaz;VD
1052;Le Mont-sur-Lausanne;VD
1053;Cugy VD;VD
1054;Morrens VD;VD
1055;Froideville;VD
1410;Thierrens;VD
1066;Epalinges;VD
1073;Savigny;VD
1083;Mézières VD;VD
1092;Belmont-sur-Lausanne;VD
1093;La Conversion;VD
1094;Paudex;VD
1095;Lutry;VD
1096;Cully;VD
1097;Riex;VD
1098;Epesses;VD
1058;Villars-Tiercelin;VD
1059;Peney-le-Jorat;VD
1061;Villars-Mendraz;VD
1062;Sottens;VD
1063;Chapelle-sur-Moudon;VD
1410;St-Cierges;VD
1073;Mollie-Margot;VD
1080;Les Cullayes;VD
1081;Montpreveyres;VD
1082;Corcelles-le-Jorat;VD
1088;Ropraz;VD
1084;Carrouge VD;VD
1085;Vulliens;VD
1509;Vucherens;VD
1510;Syens;VD
1076;Ferlens VD;VD
1077;Servion;VD
1078;Essertes;VD
1673;Auboranges;FR
1110;Morges;VD
1110;Morges 1;VD
1110;Morges 2;VD
1112;Echichens;VD
1167;Lussy-sur-Morges;VD
1132;Lully VD;VD
1131;Tolochenaz;VD
1125;Monnaz;VD
1126;Vaux-sur-Morges;VD
1127;Clarmont;VD
1128;Reverolle;VD
1113;St-Saphorin-sur-Morges;VD
1114;Colombier VD;VD
1115;Vullierens;VD
1116;Cottens VD;VD
1117;Grancy;VD
1304;Senarclens;VD
1121;Bremblens;VD
1122;Romanel-sur-Morges;VD
1123;Aclens;VD
1124;Gollion;VD
1134;Vufflens-le-Château;VD
1135;Denens;VD
1136;Bussy-Chardonney;VD
1169;Yens;VD
1168;Villars-sous-Yens;VD
1144;Ballens;VD
1149;Berolle;VD
1146;Mollens VD;VD
1147;Montricher;VD
1142;Pampigny;VD
1141;Sévery;VD
1143;Apples;VD
1145;Bière;VD
1148;L'Isle;VD
1162;St-Prex;VD
1163;Etoy;VD
1164;Buchillon;VD
1165;Allaman;VD
1166;Perroy;VD
1170;Aubonne;VD
1172;Bougy-Villars;VD
1173;Féchy;VD
1174;Montherod;VD
1175;Lavigny;VD
1176;St-Livres;VD
1180;Rolle;VD
1182;Gilly;VD
1183;Bursins;VD
1184;Vinzel;VD
1184;Luins;VD
1185;Mont-sur-Rolle;VD
1186;Essertines-sur-Rolle;VD
1187;St-Oyens;VD
1189;Saubraz;VD
1188;Gimel;VD
1195;Dully-Bursinel;VD
1196;Gland;VD
1197;Prangins;VD
1200;Genève;GE
1200;Genève 1;GE
1200;Genève 2 Cornavin Dépôt;GE
1200;Genève 3;GE
1200;Genève 4;GE
1200;Genève 2 Transit;GE
1200;Genève 6;GE
1200;Genève 7;GE
1200;Genève 8;GE
1200;Genève 11;GE
1200;Genève 12;GE
1200;Genève 13;GE
1200;Genève 17;GE
1200;Genève 19;GE
1200;Genève 20;GE
1200;Genève 21;GE
1200;Genève 26;GE
1200;Genève 28 Balexert;GE
1200;Genève Centre logistique;GE
1200;Genève 2 Distribution;GE
1200;Genève Dist Ba;GE
1201;Genève;GE
1202;Genève;GE
1203;Genève;GE
1204;Genève;GE
1205;Genève;GE
1206;Genève;GE
1207;Genève;GE
1208;Genève;GE
1209;Genève;GE
1211;Genève 1;GE
1211;Genève 2;GE
1211;Genève 3;GE
1211;Genève 4;GE
1211;Genève 6;GE
1211;Genève 7;GE
1211;Genève 8;GE
1211;Genève 10;GE
1211;Genève 11;GE
1211;Genève 12;GE
1211;Genève 13;GE
1211;Genève 17;GE
1211;Genève 19;GE
1211;Genève 20;GE
1211;Genève 21;GE
1211;Genève 22;GE
1211;Genève 23;GE
1211;Genève 26;GE
1211;Genève 27;GE
1211;Genève 28;GE
1212;Grand-Lancy;GE
1212;Grand-Lancy 1;GE
1213;Petit-Lancy;GE
1213;Petit-Lancy 1;GE
1213;Petit-Lancy 2;GE
1213;Onex;GE
1214;Vernier;GE
1215;Genève 15 Aéroport;GE
1215;Genève 15 Aéroport Dépôt;GE
1216;Cointrin;GE
1217;Meyrin;GE
1217;Meyrin 1;GE
1217;Meyrin 2;GE
1218;Le Grand-Saconnex;GE
1219;Le Lignon;GE
1219;Aïre;GE
1219;Châtelaine;GE
1220;Les Avanchets;GE
1222;Vésenaz;GE
1223;Cologny;GE
1224;Chêne-Bougeries;GE
1225;Chêne-Bourg;GE
1226;Thônex;GE
1227;Carouge GE;GE
1227;Les Acacias;GE
1228;Plan-les-Ouates;GE
1231;Conches;GE
1232;Confignon;GE
1233;Bernex;GE
1234;Vessy;GE
1236;Cartigny;GE
1237;Avully;GE
1239;Collex;GE
1241;Puplinge;GE
1242;Satigny;GE
1243;Presinge;GE
1244;Choulex;GE
1245;Collonge-Bellerive;GE
1246;Corsier GE;GE
1247;Anières;GE
1248;Hermance;GE
1251;Gy;GE
1252;Meinier;GE
1253;Vandoeuvres;GE
1254;Jussy;GE
1255;Veyrier;GE
1256;Troinex;GE
1257;La Croix-de-Rozon;GE
1258;Perly;GE
1260;Nyon;VD
1260;Nyon 1 Distribution;VD
1277;Borex;VD
1278;La Rippe;VD
